DrugsIDs	DrugsNames	Labels
DB00001	Lepirudin	Amino Acids, Peptides, and Proteins
DB00001	Lepirudin	Blood and Blood Forming Organs
DB00001	Lepirudin	Cardiovascular Agents
DB00001	Lepirudin	Enzyme Inhibitors
DB00001	Lepirudin	Hematologic Agents
DB00001	Lepirudin	Peptides
DB00001	Lepirudin	Proteins
DB00002	Cetuximab	Amino Acids, Peptides, and Proteins
DB00002	Cetuximab	Antibodies
DB00002	Cetuximab	Antibodies, Monoclonal
DB00002	Cetuximab	Antineoplastic Agents
DB00002	Cetuximab	Antineoplastic and Immunomodulating Agents
DB00002	Cetuximab	Blood Proteins
DB00002	Cetuximab	Globulins
DB00002	Cetuximab	Immunoglobulins
DB00002	Cetuximab	Immunoproteins
DB00002	Cetuximab	Proteins
DB00002	Cetuximab	Serum Globulins
DB00003	Dornase alfa	Amino Acids, Peptides, and Proteins
DB00003	Dornase alfa	Enzymes and Coenzymes
DB00003	Dornase alfa	Proteins
DB00004	Denileukin diftitox	Amino Acids, Peptides, and Proteins
DB00004	Denileukin diftitox	Antineoplastic Agents
DB00004	Denileukin diftitox	Antineoplastic and Immunomodulating Agents
DB00004	Denileukin diftitox	Biological Factors
DB00004	Denileukin diftitox	Enzymes and Coenzymes
DB00004	Denileukin diftitox	Peptides
DB00004	Denileukin diftitox	Proteins
DB00005	Etanercept	Amino Acids, Peptides, and Proteins
DB00005	Etanercept	Anti-Inflammatory Agents
DB00005	Etanercept	Antibodies
DB00005	Etanercept	Immunologic Factors
DB00005	Etanercept	Immunoproteins
DB00005	Etanercept	Immunosuppressive Agents
DB00005	Etanercept	Proteins
DB00005	Etanercept	Serum Globulins
DB00006	Bivalirudin	Amino Acids, Peptides, and Proteins
DB00006	Bivalirudin	Blood and Blood Forming Organs
DB00006	Bivalirudin	Enzyme Inhibitors
DB00006	Bivalirudin	Hematologic Agents
DB00006	Bivalirudin	Peptides
DB00006	Bivalirudin	Proteins
DB00007	Leuprolide	Adrenal Cortex Hormones
DB00007	Leuprolide	Amino Acids, Peptides, and Proteins
DB00007	Leuprolide	Antineoplastic Agents
DB00007	Leuprolide	Antineoplastic and Immunomodulating Agents
DB00007	Leuprolide	Cytochrome P-450 CYP3A Substrates
DB00007	Leuprolide	Cytochrome P-450 CYP3A4 Substrates
DB00007	Leuprolide	Hormones
DB00007	Leuprolide	Hormones, Hormone Substitutes, and Hormone Antagonists
DB00007	Leuprolide	Hyperglycemia-Associated Agents
DB00007	Leuprolide	Moderate Risk QTc-Prolonging Agents
DB00007	Leuprolide	Peptides
DB00007	Leuprolide	Proteins
DB00007	Leuprolide	QTc Prolonging Agents
DB00008	Peginterferon alfa-2a	Alcohols
DB00008	Peginterferon alfa-2a	Amino Acids, Peptides, and Proteins
DB00008	Peginterferon alfa-2a	Anti-Infective Agents
DB00008	Peginterferon alfa-2a	Antineoplastic Agents
DB00008	Peginterferon alfa-2a	Antineoplastic and Immunomodulating Agents
DB00008	Peginterferon alfa-2a	Biological Factors
DB00008	Peginterferon alfa-2a	Biomedical and Dental Materials
DB00008	Peginterferon alfa-2a	Cytochrome P-450 CYP1A2 Inhibitors
DB00008	Peginterferon alfa-2a	Cytochrome P-450 Enzyme Inhibitors
DB00008	Peginterferon alfa-2a	Immunosuppressive Agents
DB00008	Peginterferon alfa-2a	Myelosuppressive Agents
DB00008	Peginterferon alfa-2a	Peptides
DB00008	Peginterferon alfa-2a	Proteins
DB00009	Alteplase	Amino Acids, Peptides, and Proteins
DB00009	Alteplase	Biological Factors
DB00009	Alteplase	Blood and Blood Forming Organs
DB00009	Alteplase	Blood Proteins
DB00009	Alteplase	Cardiovascular Agents
DB00009	Alteplase	Enzymes and Coenzymes
DB00009	Alteplase	Hematologic Agents
DB00009	Alteplase	Ophthalmologicals
DB00009	Alteplase	Proteins
DB00009	Alteplase	Sensory Organs
DB00010	Sermorelin	Amino Acids, Peptides, and Proteins
DB00010	Sermorelin	Hormones
DB00010	Sermorelin	Hormones, Hormone Substitutes, and Hormone Antagonists
DB00010	Sermorelin	Peptides
DB00010	Sermorelin	Proteins
DB00011	Interferon alfa-n1	Amino Acids, Peptides, and Proteins
DB00011	Interferon alfa-n1	Anti-Infective Agents
DB00011	Interferon alfa-n1	Antineoplastic and Immunomodulating Agents
DB00011	Interferon alfa-n1	Biological Factors
DB00011	Interferon alfa-n1	Immunologic Factors
DB00011	Interferon alfa-n1	Immunosuppressive Agents
DB00011	Interferon alfa-n1	Myelosuppressive Agents
DB00011	Interferon alfa-n1	Peptides
DB00011	Interferon alfa-n1	Proteins
DB00012	Darbepoetin alfa	Amino Acids, Peptides, and Proteins
DB00012	Darbepoetin alfa	Biological Factors
DB00012	Darbepoetin alfa	Blood and Blood Forming Organs
DB00012	Darbepoetin alfa	Carbohydrates
DB00012	Darbepoetin alfa	Hematologic Agents
DB00012	Darbepoetin alfa	Peptides
DB00012	Darbepoetin alfa	Proteins
DB00013	Urokinase	Amino Acids, Peptides, and Proteins
DB00013	Urokinase	Biological Factors
DB00013	Urokinase	Blood and Blood Forming Organs
DB00013	Urokinase	Blood Proteins
DB00013	Urokinase	Enzymes and Coenzymes
DB00013	Urokinase	Proteins
DB00014	Goserelin	Adrenal Cortex Hormones
DB00014	Goserelin	Amino Acids, Peptides, and Proteins
DB00014	Goserelin	Antineoplastic Agents
